,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,unsup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,sup,num_data
,bert,bert,bert,bert,sbert,sbert,sbert,sbert,simcse,simcse,simcse,simcse,diffcse,diffcse,diffcse,diffcse,promcse,promcse,promcse,promcse,mcse,mcse,mcse,mcse,bert,bert,bert,bert,sbert,sbert,sbert,sbert,simcse,simcse,simcse,simcse,diffcse,diffcse,diffcse,diffcse,promcse,promcse,promcse,promcse,mcse,mcse,mcse,mcse,
,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,
,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,w_p,wo_p,
wiki1m,0.09573,0.29801,-0.40237,-0.42243,-0.37147,0.23357,0.34531,0.25774,0.60261,0.72348,0.15006,0.158,0.22026,0.30281,0.1134,0.13457,0.10062,0.29801,-0.38466,-0.42243,0.17935,0.30278,-0.01626,0.0481,,,,,-0.18742,0.10624,0.12661,0.1309,0.5253,0.52867,0.35006,0.0798,,,,,0.29693,0.29801,-0.40968,-0.42243,0.17935,0.30278,-0.01626,0.0481,36534.0
norm_mean,16.73747,14.53696,5.811,10.92629,15.5226,17.07643,10.51929,22.35124,6.66976,14.30963,6.90831,15.22577,5.22398,9.94262,11.27245,24.02477,7.5382,14.53696,5.80008,10.92629,6.71037,13.93894,5.76803,14.34331,,,,,14.38245,17.01381,10.13869,20.98213,4.84702,11.23369,4.46454,12.99312,,,,,7.85857,14.53696,6.11279,10.92629,6.71037,13.93894,5.76803,14.34331,
norm_std,1.98924,0.64121,0.05329,0.10905,1.53505,0.49121,0.28707,0.7362,0.53001,0.88274,0.68855,1.59097,0.20717,0.36999,0.31647,0.80325,0.26548,0.64121,0.05468,0.10905,0.54186,0.81544,0.59279,1.31815,,,,,1.93889,0.48277,0.42792,1.01319,0.57611,0.75719,0.46174,0.757,,,,,0.29832,0.64121,0.05545,0.10905,0.54186,0.81544,0.59279,1.31815,
avg,0.09573,0.29801,-0.40237,-0.42243,-0.37147,0.23357,0.34531,0.25774,0.60261,0.72348,0.15006,0.158,0.22026,0.30281,0.1134,0.13457,0.10062,0.29801,-0.38466,-0.42243,0.17935,0.30278,-0.01626,0.0481,,,,,-0.18742,0.10624,0.12661,0.1309,0.5253,0.52867,0.35006,0.0798,,,,,0.29693,0.29801,-0.40968,-0.42243,0.17935,0.30278,-0.01626,0.0481,36534.0
avg_w,0.09573,0.29801,-0.40237,-0.42243,-0.37147,0.23357,0.34531,0.25774,0.60261,0.72348,0.15006,0.158,0.22026,0.30281,0.1134,0.13457,0.10062,0.29801,-0.38466,-0.42243,0.17935,0.30278,-0.01626,0.0481,,,,,-0.18742,0.10624,0.12661,0.1309,0.5253,0.52867,0.35006,0.0798,,,,,0.29693,0.29801,-0.40968,-0.42243,0.17935,0.30278,-0.01626,0.0481,36534.0
